user_id,reading_id,performance_id,relative_difficulty,unknown_count,unique_word_count
0,0,JamHgx78yBimxwfsy,0,0,40
0,1,x9terPGdNZLofMmJK,0.051948052,4,77
0,2,gW8LvMDXTGnXXDdXD,0.028368794,4,141
0,3,QRR8FvoCbD7mX8e5H,0.01183432,2,169
0,4,NcKX3uapzTCvXwYGu,0.066350711,14,211
0,5,maWs9sGSrFxHqewm7,0.027027027,5,185
0,6,JzkkgN7rR63hgSna6,0.029126214,6,206
1,0,DPByZxCZikYMGdv8r,0,0,40
1,1,fuBiap5C8jGpHCA2L,0,0,77
1,2,LPn5Bg78rNebyQWQX,0,0,141
1,3,6xk3CJRipkAapmYQ8,0,0,169
1,4,kPA3NoPgk3gsEY2Gh,0,0,211
1,5,LZ2bhtACe9n8QyZKd,0,0,185
1,6,ELpTKDNtF8dzA6GRw,0,0,206
2,0,636yJTytSAEveZcJy,0.05,2,40
2,1,HGbKzJCgnXvrMJyTj,0.012987013,1,77
2,2,XQ9SRX84kdAsEq2gR,0.028368794,4,141
2,3,CdFzkwtQGKMsxGvPJ,0.071005917,12,169
2,4,4FDykYBzskdjTvHjW,0.085308057,18,211
2,5,NKoMPDc2cm5tBSsoF,0.021621622,4,185
2,6,vTfYEpKJXnxozSE9z,0.048543689,10,206
3,0,Zj7CLX4jimHX8ixas,0,0,40
3,1,HLzXJiRut7cdz5YsF,0,0,77
3,2,Wnbmy6oBWZJKhfE3X,0.028368794,4,141
3,3,iC9vL3NGLvkyJsnJ6,0.017751479,3,169
3,4,i5X9ofYQpGzAuK2JK,0.009478673,2,211
3,5,fJ5ioPiBDaGbPNQcz,0.021621622,4,185
3,6,vQKeXtZZS7rf6upeP,0.024271845,5,206
4,0,mEsAPaNcb9batgid4,0,0,40
4,1,7B6qHBFseMq6MTx8H,0,0,77
4,2,3DYdaieraZPbrGWfG,0,0,141
4,3,JQaJajQEr3aKrHzXd,0,0,169
4,4,9EKuwEd6hg9Gi2WYb,0.033175355,7,211
4,5,rNsaWSENzRBfpLbtN,0,0,185
4,6,E6Ey885qdALfwoucn,0.009708738,2,206
5,0,EXJj6G6jDybP3M4N6,0,0,40
5,1,c6MjFd9HiFWYaSXc4,0.025974026,2,77
5,2,aJvKM5mfJ2ve7YWAE,0.042553191,6,141
5,3,JSCBm3CtNnTfPREPo,0.01183432,2,169
5,4,kENAs4zsTqJmpLh7P,0.018957346,4,211
5,5,9G6MYXAQoy6mYcaRM,0.054054054,10,185
5,6,z4negjEmqyeNbCkdC,0.029126214,6,206
6,0,qnzmTjrBmRNd6k5D9,0.025,1,40
6,1,zC2GLZqWoBesmkgze,0.012987013,1,77
6,2,27QNzEL8EsZtPiMSY,0.021276596,3,141
6,3,FZxm3eoj4LWydispb,0.094674556,16,169
6,4,XSFFmfrmo53Pxfb6Z,0.047393365,10,211
6,5,sfaJFq7RHF2bXFgDC,0.032432432,6,185
6,6,kE4H6j3Za3gTqWg6w,0.048543689,10,206
7,0,H5jtxpCAxJqEgohSW,0.075,3,40
7,1,MxEuSYwunF3aAwcug,0.064935065,5,77
7,2,4bSQvWPj67ixTJKJ3,0.028368794,4,141
7,3,JukNdTFdktHomk6Jn,0.053254438,9,169
7,4,nRz5eRDB9ef4zGb26,0.014218009,3,211
7,5,NcaNjQutZ68caw8Zp,0.07027027,13,185
7,6,xQQoYYxsZ5xKWmQqm,0.053398058,11,206
8,0,zshhXhzHLck2jHuPn,0,0,40
8,1,SsnbaoxpB5ojx38LN,0,0,77
8,2,oLTTs8tGEq7pcsnHW,0,0,141
8,3,WrZMWMHYvgeXjDCva,0,0,169
8,4,DEu7FGbw7HXgkuC3R,0,0,211
8,5,tvg947RMoNGSLudNx,0,0,185
8,6,LKZ2qDq8RK3ws9vYH,0,0,206
9,0,jFSZMwKDJXTdHEWvP,0.075,3,40
9,1,Ya3JBQ9iotLdrM92F,0.012987013,1,77
9,2,5L8MZfjmEMrMhoLou,0.042553191,6,141
9,3,FhTij2GqgZ5APEZ9q,0.017751479,3,169
9,4,6YsrwWbAAsKZeWbXy,0.023696682,5,211
9,5,oHBx5NJsXrdQkdYF9,0.059459459,11,185
9,6,PKxSg93afsY5gDMiz,0.029126214,6,206
10,0,4QTFfjWq6FS28pGz8,0.025,1,40
10,1,XfTcDixuuaQYZiC7e,0.012987013,1,77
10,2,zPzQEYHfSJ94twSKs,0.028368794,4,141
10,3,uqrSfLk9QdcadGi8H,0.029585799,5,169
10,4,QrMwsrNYAx9jJAFSb,0.018957346,4,211
10,5,k5Gdo8atZJmKd3w9L,0.027027027,5,185
10,6,DPKoJudXDbuxszjdv,0.033980583,7,206
11,0,TBYN8mkut8vjCXzaS,0,0,40
11,1,Gj6tipugyxEYTwyFs,0,0,77
11,2,ofgJxiLtjjPJkKuPN,0,0,141
11,3,XoJKYGZCXMbnnQTKN,0,0,169
11,4,XHrL498mJFtRb4sPF,0,0,211
11,5,LPuG35hMR2ej4rZJc,0,0,185
11,6,Ddo7nRkcNfEPJkh87,0,0,206
12,0,DJ82KMGpjj4PZZ2HN,0,0,40
12,1,3Joc72XDAAb3XXatj,0.038961039,3,77
12,2,rpXNvqLm6ra8HXP9A,0.014184397,2,141
12,3,Zg6isAKvwpSH4WxBK,0.023668639,4,169
12,4,ritrnCvnRdcdmmCWm,0.037914692,8,211
12,5,uZ7stzCEk4E6XTite,0.032432432,6,185
12,6,ZkAyeeNvyKZQreXwW,0.029126214,6,206
13,0,qHKbFeLfRhcTtWzmm,0,0,40
13,1,2zKyXcquSF429NrBv,0,0,77
13,2,eWuyLCDNPe4BuQwwW,0.007092199,1,141
13,3,ab396DrpYG4uo7zCX,0.017751479,3,169
13,4,AsgPnH4XxGD4XKMNj,0.042654028,9,211
13,5,MG9zKGdyiWFqwgWSo,0.021621622,4,185
13,6,7T4FXcjPb6ZpFBqGP,0.019417476,4,206
14,0,hLrXaAXSHzT8jo7gg,0.025,1,40
14,1,9GNjLrigPcuSzWorh,0.012987013,1,77
14,2,9MhMLEjFyE7nChhMK,0.014184397,2,141
14,3,pXdRs5iiPkn5PkycD,0.035502959,6,169
14,4,czXWJRz5SLt7TDoZ7,0.018957346,4,211
14,5,PHFNX7rJuxTs4iscF,0.027027027,5,185
14,6,42Ea6qYSEYdS8LZc5,0.009708738,2,206
15,0,nygDzaqAmpTo98giC,0,0,40
15,1,oWq8uK8ms4JNRFS5X,0.025974026,2,77
15,2,RKKvNGdKyCZ6q4u5R,0,0,141
15,3,2YGDW9RFSTvzyMzdc,0.035502959,6,169
15,4,XHH2xfNe8euLxHWHZ,0.018957346,4,211
15,5,KLy4D5K3zsoGR7YuZ,0.016216216,3,185
15,6,dJfGbemQyy9iRWSTp,0.014563107,3,206
16,0,ChuMpxkd2Ni65GYMx,0,0,40
16,1,wgbrQ4fCAj9cAZwEq,0,0,77
16,2,o6hZCvbyXFJY9LBwn,0,0,141
16,3,zRZ6M7zp3mwHPtia6,0,0,169
16,4,8zvrXYQqaPFXfjrBF,0,0,211
16,5,gu4RhbSzr2tjQqwgA,0,0,185
16,6,AAbFB4ks2EPZWknMY,0,0,206
17,0,ddPj2Qqyv4KMXpS6C,0,0,40
17,1,8kPD8wAniRWtZNz7B,0,0,77
17,2,WQH7Ptc3qMjJJWhTY,0,0,141
17,3,5vZKtGkwa7YuSApEp,0,0,169
17,4,DjFAcAwDP9mnmYBGR,0,0,211
17,5,z74h3FAnTWZrPQs69,0,0,185
17,6,7QeQs3n9hxQGqWbA9,0,0,206
18,0,NJJANBDFGZ9vrZ7J2,0,0,40
18,1,pooEQPHJemG8PiNj5,0,0,77
18,2,Rgt6Lb6A86N9AFkWN,0.014184397,2,141
18,3,jXwMJLTqNHkc4G7EK,0.01183432,2,169
18,4,eTgsgugE9FP43RAxE,0.042654028,9,211
18,5,qnmHKqzrQ53NT3eX6,0.032432432,6,185
18,6,dQtdZGzdXgRojpZJa,0.009708738,2,206
19,0,4yvDk7Qg3xAc5wPFk,0,0,40
19,1,WkYWyo2gLcoYgf4KB,0,0,77
19,2,jP7F45Pi9vEM7v3g2,0,0,141
19,3,x8jc2cjeXLHSPkPr5,0,0,169
19,4,ZxkPR9htL6xexrPWn,0.004739336,1,211
19,5,3Lu6C9d86QshvDJgZ,0.005405405,1,185
19,6,Nxm57ryFDJoavrkKA,0,0,206
20,0,HCoHypsj9nYuiPJ4Q,0,0,40
20,1,C2Sm4sacPE4tYo7Ki,0,0,77
20,2,BqHTijgXGFL6C8WQM,0.007092199,1,141
20,3,JcrLgce29xTjfjMMn,0.029585799,5,169
20,4,qgDtsJanD6CfHqnjW,0.037914692,8,211
20,5,gXCzsm2WXxERkwkiR,0.021621622,4,185
20,6,kAFTzctPrFdvResJY,0.004854369,1,206
21,0,vsjMbALH7jZ63dmEx,0,0,40
21,1,ZrSN6FMqc56rmm3AQ,0,0,77
21,2,ZBmnoLmjK6JSqgdqe,0,0,141
21,3,junrY7YmMR4F2qoQ8,0,0,169
21,4,cDJM72HPD9zukSNFK,0,0,211
21,5,7X5xHpJeyLPHL3Wec,0,0,185
21,6,tWYdJi2XFHhjz9u5L,0,0,206
22,0,pm7LnyQ3vLGAGFGh4,0.025,1,40
22,1,9w9gBG4hihjwJTsKs,0.012987013,1,77
22,2,tLEhvGDyij4kSbMMK,0.021276596,3,141
22,3,zkwkTCm5L7qQJhcnk,0.041420118,7,169
22,4,QxqG3Jxgv24gLCztp,0.033175355,7,211
