sentence_id,reading_id,text,flesch_kincaid
0,XcrJv7rscWuDeABF6,Mom went to the shop.,125.62
1,XcrJv7rscWuDeABF6,She got me a pet.,125.62
2,XcrJv7rscWuDeABF6,The pet Mom got from the pet shop was a fox.,119.53
3,XcrJv7rscWuDeABF6,But the fox got out of the box.,122.58
4,XcrJv7rscWuDeABF6,Mom said not to be sad.,124.61
5,XcrJv7rscWuDeABF6,She will find the fox.,125.62
6,XcrJv7rscWuDeABF6,She took the box.,126.64
7,XcrJv7rscWuDeABF6,Mom was gone for a long time.,115.13
8,XcrJv7rscWuDeABF6,Now Mom is back.,126.64
9,XcrJv7rscWuDeABF6,She did find the fox!,125.62
10,XcrJv7rscWuDeABF6,The fox is in the box.,124.61
11,XcrJv7rscWuDeABF6,Mom has to chop food for the fox.,122.58
12,XcrJv7rscWuDeABF6,I can sit with the fox.,124.61
13,F5yiSWhxvAAH3kMzN,You answer questions all the time.,99.23
14,F5yiSWhxvAAH3kMzN,How do you know that your answer is reasonable?,87.72
15,F5yiSWhxvAAH3kMzN,It does not matter what subject you are studying.,87.72
16,F5yiSWhxvAAH3kMzN,Your answer needs to make sense.,99.23
17,F5yiSWhxvAAH3kMzN,Follow these steps after you get an answer.,80.28
18,QQ7AqXJYnsjf4zhQ8,People are very social animals.,32.56
19,QQ7AqXJYnsjf4zhQ8,We need to talk with and do things with other people.,102.61
20,QQ7AqXJYnsjf4zhQ8,"We often understand ourselves better when we discuss our opinions, emotions and activities with other people.",38.31
21,QQ7AqXJYnsjf4zhQ8,We need to make meaningful connections with friends and family.,69.79
22,QQ7AqXJYnsjf4zhQ8,These connections help us put aside our frustrations and worries.,61.33
23,QQ7AqXJYnsjf4zhQ8,We can focus on things that are important: the people we care about.,75.2
24,QQ7AqXJYnsjf4zhQ8,Your local community is the area near your home.,79.26
25,QQ7AqXJYnsjf4zhQ8,"It's where you work, play and go to school.",113.1
26,QQ7AqXJYnsjf4zhQ8,It is the neighborhood where your family makes connections with other people.,50.84
27,QQ7AqXJYnsjf4zhQ8,It's the places you feel like you belong.,97.2
28,QQ7AqXJYnsjf4zhQ8,Communities grow and change over time.,56.93
29,QQ7AqXJYnsjf4zhQ8,Families move from one city to another because of work or family situations.,41.36
30,QQ7AqXJYnsjf4zhQ8,Older adults often move to smaller homes or vacation areas after their children have grown up.,55.24
31,QQ7AqXJYnsjf4zhQ8,Their children move out to start families of their own.,86.71
32,QQ7AqXJYnsjf4zhQ8,New families move in when others leave.,81.29
33,QQ7AqXJYnsjf4zhQ8,"Basic services, such as police, fire, post office, health and public schools are in almost every community.",45.76
34,QQ7AqXJYnsjf4zhQ8,"Businesses provide services to the community, too.",13.61
35,QQ7AqXJYnsjf4zhQ8,Stores sell things that people need.,99.23
36,QQ7AqXJYnsjf4zhQ8,Restaurants sell prepared food.,50.5
37,QQ7AqXJYnsjf4zhQ8,Offices provide a variety of skilled work.,47.45
38,QQ7AqXJYnsjf4zhQ8,The local city government is usually an elected mayor and city council.,50.84
39,QQ7AqXJYnsjf4zhQ8,It is their job to listen to the people of the community and help them connect.,89.08
