user_id,gender,age,grade
zRJseyqoyE5Gsmjf9,男性,18-24 岁,硕士学位
45tWe2fRQyXB5BPQ3,女性,18-24 岁,大学未完成
Wrr9bL5QZehbFQBci,男性,18-24 岁,大学学位
egxjyQbwKk53gnsMG,男性,18-24 岁,硕士学位
vEpy4ofQBBTRTZYZo,男性,25-34 岁,大学学位
fHpa5viyE2d6aE5vj,男性,25-34 岁,大学学位
kDS8gawJPkgJBaDn8,男性,25-34 岁,大学学位
cGvDN7YCZG6jzzD3M,男性,18-24 岁,大学未完成
KQYrDRyrZjMuEeBx9,男性,18-24 岁,硕士学位
8BMW4L6rLHTGim9Aj,女性,18-24 岁,大学学位
LsKaTKtQ97dqKuFXa,男性,25-34 岁,硕士学位
8d9DQhDz3ck6kQsDk,男性,18-24 岁,大学学位
RXhaamZLeM229b9Xi,男性,18-24 岁,大学未完成
7mtpeKgqxYsJ8dGdk,男性,18-24 岁,大学学位
H8ZhLj7YP7cCkCsAq,男性,35-44 岁,大学未完成
mGbdZ9ujdxQ7LWPyr,男性,18-24 岁,大学未完成
n6visACohjenJomDZ,男性,18-24 岁,大学未完成
vHHcyTSAxqHWvP9mo,女性,25-34 岁,大学未完成
msk2jAbtxMjNnKKc8,男性,18-24 岁,大学未完成
P3m5gpwCgj4vvMXfz,男性,18-24 岁,大学学位
vr7aPhWAx4oZAwiTA,男性,18-24 岁,大学学位
53Kio4wemFYQ48BYP,男性,18-24 岁,大学未完成
hk2rH4EMeyLA8kwN5,男性,18-24 岁,大学学位
gJzntnvYmdZpcE2eP,女性,25-34 岁,大学学位
bfachLE7Cv2Lfe9c9,男性,18-24 岁,大学学位
FjKqb8FWHjuD94Zju,男性,18-24 岁,大学学位
W2NGmZKoxHXzgP8Lz,男性,18-24 岁,硕士学位
G6wegXM9ri2ru7s4n,男性,18-24 岁,大学学位
jfjaETxPXp4Sk8dfA,男性,18-24 岁,大学学位
XjoSKGGnNinEwZuB9,男性,18-24 岁,大学学位
j7z5e8FEm2JfbGnCm,男性,18-24 岁,大学学位
aFrTduBKypzYvfSRj,男性,18-24 岁,大学学位
PHhAGTpgeeeMkHZPo,男性,18-24 岁,硕士学位
uEe8nsRK8xoAwsP7e,男性,18-24 岁,大学学位
xmgvk3XuRbYZeC2eT,男性,18-24 岁,大学学位
BQnFTBDmRQBPoDJB3,男性,18-24 岁,大学学位
sNGS9qy6ZhPam7g9e,男性,18-24 岁,大学学位
DvBRGtaKazzrQR3He,男性,18-24 岁,大学学位
wi8cAq5YWdqesWc8d,男性,18-24 岁,大学学位
kQGwCctw6Ngg2kdRs,男性,18-24 岁,大学学位
myDJQzWPHQcgP28Xc,男性,18-24 岁,大学学位
JFb7coP6zJHPyxGvL,男性,25-34 岁,大学学位
xYHKQqjLRYXHvg6YK,男性,25-34 岁,大学学位
vBiQxYK6my4t6PT4P,男性,18-24 岁,大学学位
Zpvq46Jpb4HPcpRWe,男性,35-44 岁,大学学位
Xnt8B2DwAEbBWBmfP,男性,25-34 岁,大学学位
JxdMvrwaYEEf9a9oH,男性,18-24 岁,硕士学位
BafjHG23N6iq9Smc3,男性,18-24 岁,大学学位
7aMB3PzH6qrrz7Qw3,男性,18-24 岁,大学学位
nBoTzHb8JiYoPhwGA,男性,35-44 岁,高中毕业
odQY8Qm6PfyrWCvTs,女性,25-34 岁,硕士学位
Y6sDhpXAyLRCEd7Xm,男性,18-24 岁,大学学位
CfAaFZWhrTScFKgHv,男性,18-24 岁,大学学位
94srqELZgPeC3fmTD,女性,18-24 岁,大学学位
uSnEXYuraN6i57JFg,男性,18-24 岁,大学学位
GQpeLh8wzHHAvxyo3,女性,18-24 岁,大学学位
T49y7CAs27M6wnXNY,男性,18-24 岁,硕士学位
SCTrew5aTcvpT4BCE,男性,18-24 岁,大学学位
vKZY5NEwFx5kFeTea,男性,18-24 岁,大学学位
jSfaEmaHZtNZ2bP87,男性,35-44 岁,大学学位
J7wZFKfSxY8bk2NTt,男性,35-44 岁,大学学位
Ge7czuuKgbvFfjzxv,女性,25-34 岁,硕士学位
4dR3zdtP2bhsZTWi3,男性,25-34 岁,高中学位
SDKW7TkzQoaggNSNs,男性,18-24 岁,大学学位
zKAWtbZLcuaWq72Y6,男性,35-44 岁,大学学位
eJJwre5pP6NhX7R3K,男性,18-24 岁,大学学位
33JAZBPwApjfxhhx4,男性,18-24 岁,大学未完成
8gsPLyPHubhLRiXCb,男性,18-24 岁,大学学位
agwYAw3SCmBK9iCEe,男性,18-24 岁,大学学位
ByFz3JPxvx3MPLKqx,男性,18-24 岁,硕士学位
kFCYE7sFvbaY9jvCC,男性,18-24 岁,大学学位
hT67sftoKQZWaPitf,男性,18-24 岁,大学学位
Fs7PxS3RaknDNkrCX,男性,25-34 岁,大学学位
aTSyiGyMpYeHc9rYf,男性,35-44 岁,大学学位
kEgqGMXL32x3h84q6,男性,18-24 岁,大学学位
Cs8xin2ct3trr3uXY,男性,18-24 岁,硕士学位
iNKaySbwPsgkfnKPM,男性,18-24 岁,高中未完成
DqwsHpgfNjtF2T6qM,男性,18-24 岁,大学学位
ZxQQHgeMHzZW5x3gN,男性,18-24 岁,大学学位
8ctySXJscC6XC22Zw,男性,35-44 岁,大学学位
ayHuHTWfJJvHcY6F3,男性,18-24 岁,硕士学位
r7XSCFL4eL4X4fT6C,男性,18-24 岁,大学学位
sYFEkq34doniNxf2x,男性,18-24 岁,大学学位
y8PEeM5zyNDsgBtAq,男性,18-24 岁,大学学位
v2Lejk9LKebCAagPn,男性,18-24 岁,大学学位
NgDWPCCS7Y76rA2J4,男性,18-24 岁,大学学位
