user_id,reading_id,performance_id,relative_difficulty,unknown_count,unique_word_count,total_count,flesch_kincaid
0,0,JamHgx78yBimxwfsy,0.0,0,40,35,124.4
0,1,x9terPGdNZLofMmJK,0.05194805194805195,4,77,35,89.75
0,2,gW8LvMDXTGnXXDdXD,0.028368794326241134,4,141,35,61.22
0,3,QRR8FvoCbD7mX8e5H,0.011834319526627219,2,169,35,60.31
0,4,NcKX3uapzTCvXwYGu,0.06635071090047394,14,211,35,67.15
0,5,maWs9sGSrFxHqewm7,0.02702702702702703,5,185,35,64.71
0,6,JzkkgN7rR63hgSna6,0.02912621359223301,6,206,35,69.75
1,0,DPByZxCZikYMGdv8r,0.0,0,40,0,124.4
1,1,fuBiap5C8jGpHCA2L,0.0,0,77,0,89.75
1,2,LPn5Bg78rNebyQWQX,0.0,0,141,0,61.22
1,3,6xk3CJRipkAapmYQ8,0.0,0,169,0,60.31
1,4,kPA3NoPgk3gsEY2Gh,0.0,0,211,0,67.15
1,5,LZ2bhtACe9n8QyZKd,0.0,0,185,0,64.71
1,6,ELpTKDNtF8dzA6GRw,0.0,0,206,0,69.75
2,0,636yJTytSAEveZcJy,0.05,2,40,51,124.4
2,1,HGbKzJCgnXvrMJyTj,0.012987012987012988,1,77,51,89.75
2,2,XQ9SRX84kdAsEq2gR,0.028368794326241134,4,141,51,61.22
2,3,CdFzkwtQGKMsxGvPJ,0.07100591715976332,12,169,51,60.31
2,4,4FDykYBzskdjTvHjW,0.08530805687203792,18,211,51,67.15
2,5,NKoMPDc2cm5tBSsoF,0.021621621621621623,4,185,51,64.71
2,6,vTfYEpKJXnxozSE9z,0.04854368932038835,10,206,51,69.75
3,0,Zj7CLX4jimHX8ixas,0.0,0,40,18,124.4
3,1,HLzXJiRut7cdz5YsF,0.0,0,77,18,89.75
3,2,Wnbmy6oBWZJKhfE3X,0.028368794326241134,4,141,18,61.22
3,3,iC9vL3NGLvkyJsnJ6,0.01775147928994083,3,169,18,60.31
3,4,i5X9ofYQpGzAuK2JK,0.009478672985781991,2,211,18,67.15
3,5,fJ5ioPiBDaGbPNQcz,0.021621621621621623,4,185,18,64.71
3,6,vQKeXtZZS7rf6upeP,0.024271844660194174,5,206,18,69.75
4,0,mEsAPaNcb9batgid4,0.0,0,40,9,124.4
4,1,7B6qHBFseMq6MTx8H,0.0,0,77,9,89.75
4,2,3DYdaieraZPbrGWfG,0.0,0,141,9,61.22
4,3,JQaJajQEr3aKrHzXd,0.0,0,169,9,60.31
4,4,9EKuwEd6hg9Gi2WYb,0.03317535545023697,7,211,9,67.15
4,5,rNsaWSENzRBfpLbtN,0.0,0,185,9,64.71
4,6,E6Ey885qdALfwoucn,0.009708737864077669,2,206,9,69.75
5,0,EXJj6G6jDybP3M4N6,0.0,0,40,30,124.4
5,1,c6MjFd9HiFWYaSXc4,0.025974025974025976,2,77,30,89.75
5,2,aJvKM5mfJ2ve7YWAE,0.0425531914893617,6,141,30,61.22
5,3,JSCBm3CtNnTfPREPo,0.011834319526627219,2,169,30,60.31
5,4,kENAs4zsTqJmpLh7P,0.018957345971563982,4,211,30,67.15
5,5,9G6MYXAQoy6mYcaRM,0.05405405405405406,10,185,30,64.71
5,6,z4negjEmqyeNbCkdC,0.02912621359223301,6,206,30,69.75
6,0,qnzmTjrBmRNd6k5D9,0.025,1,40,47,124.4
6,1,zC2GLZqWoBesmkgze,0.012987012987012988,1,77,47,89.75
