user_id,gender,age,grade
zRJseyqoyE5Gsmjf9,M,18-24,master
45tWe2fRQyXB5BPQ3,F,18-24,in_college
Wrr9bL5QZehbFQBci,M,18-24,bachelor
egxjyQbwKk53gnsMG,M,18-24,master
vEpy4ofQBBTRTZYZo,M,25-34,bachelor
fHpa5viyE2d6aE5vj,M,25-34,bachelor
kDS8gawJPkgJBaDn8,M,25-34,bachelor
cGvDN7YCZG6jzzD3M,M,18-24,in_college
KQYrDRyrZjMuEeBx9,M,18-24,master
8BMW4L6rLHTGim9Aj,F,18-24,in_college
LsKaTKtQ97dqKuFXa,M,25-34,master
8d9DQhDz3ck6kQsDk,M,18-24,bachelor
RXhaamZLeM229b9Xi,M,18-24,in_college
7mtpeKgqxYsJ8dGdk,M,18-24,bachelor
H8ZhLj7YP7cCkCsAq,M,35-44,bachelor
mGbdZ9ujdxQ7LWPyr,M,18-24,in_college
n6visACohjenJomDZ,M,18-24,in_college
vHHcyTSAxqHWvP9mo,F,25-34,in_college
msk2jAbtxMjNnKKc8,M,18-24,in_college
P3m5gpwCgj4vvMXfz,M,18-24,bachelor
vr7aPhWAx4oZAwiTA,M,18-24,bachelor
53Kio4wemFYQ48BYP,M,18-24,in_college
hk2rH4EMeyLA8kwN5,M,18-24,bachelor
gJzntnvYmdZpcE2eP,F,25-34,in_college
bfachLE7Cv2Lfe9c9,M,18-24,bachelor
FjKqb8FWHjuD94Zju,M,18-24,bachelor
W2NGmZKoxHXzgP8Lz,M,18-24,master
G6wegXM9ri2ru7s4n,M,18-24,bachelor
jfjaETxPXp4Sk8dfA,M,18-24,bachelor
XjoSKGGnNinEwZuB9,M,18-24,bachelor
j7z5e8FEm2JfbGnCm,M,18-24,bachelor
aFrTduBKypzYvfSRj,M,18-24,bachelor
PHhAGTpgeeeMkHZPo,M,18-24,master
uEe8nsRK8xoAwsP7e,M,18-24,bachelor
BQnFTBDmRQBPoDJB3,M,18-24,bachelor
sNGS9qy6ZhPam7g9e,M,18-24,bachelor
DvBRGtaKazzrQR3He,M,18-24,bachelor
wi8cAq5YWdqesWc8d,M,18-24,bachelor
kQGwCctw6Ngg2kdRs,M,18-24,bachelor
myDJQzWPHQcgP28Xc,M,18-24,bachelor
JFb7coP6zJHPyxGvL,M,25-34,bachelor
xYHKQqjLRYXHvg6YK,M,25-34,bachelor
vBiQxYK6my4t6PT4P,M,18-24,bachelor
Zpvq46Jpb4HPcpRWe,M,35-44,bachelor
Xnt8B2DwAEbBWBmfP,M,25-34,bachelor
JxdMvrwaYEEf9a9oH,M,18-24,master
BafjHG23N6iq9Smc3,M,18-24,bachelor
7aMB3PzH6qrrz7Qw3,M,18-24,bachelor
nBoTzHb8JiYoPhwGA,M,35-44,high_school_grad
odQY8Qm6PfyrWCvTs,F,25-34,master
Y6sDhpXAyLRCEd7Xm,M,18-24,bachelor
94srqELZgPeC3fmTD,F,18-24,bachelor
GQpeLh8wzHHAvxyo3,F,18-24,bachelor
T49y7CAs27M6wnXNY,M,18-24,master
SCTrew5aTcvpT4BCE,M,18-24,bachelor
vKZY5NEwFx5kFeTea,M,18-24,bachelor
jSfaEmaHZtNZ2bP87,M,35-44,bachelor
J7wZFKfSxY8bk2NTt,M,35-44,bachelor
Ge7czuuKgbvFfjzxv,F,25-34,master
4dR3zdtP2bhsZTWi3,M,25-34,high_school_grad
SDKW7TkzQoaggNSNs,M,18-24,bachelor
eJJwre5pP6NhX7R3K,M,18-24,bachelor
33JAZBPwApjfxhhx4,M,18-24,in_college
8gsPLyPHubhLRiXCb,M,18-24,bachelor
agwYAw3SCmBK9iCEe,M,18-24,bachelor
ByFz3JPxvx3MPLKqx,M,18-24,master
kFCYE7sFvbaY9jvCC,M,18-24,bachelor
hT67sftoKQZWaPitf,M,18-24,in_college
Fs7PxS3RaknDNkrCX,M,25-34,bachelor
aTSyiGyMpYeHc9rYf,M,35-44,bachelor
Cs8xin2ct3trr3uXY,M,18-24,master
iNKaySbwPsgkfnKPM,M,18-24,in_high_school
DqwsHpgfNjtF2T6qM,M,18-24,bachelor
ZxQQHgeMHzZW5x3gN,M,18-24,bachelor
8ctySXJscC6XC22Zw,M,35-44,bachelor
ayHuHTWfJJvHcY6F3,M,18-24,master
r7XSCFL4eL4X4fT6C,M,18-24,bachelor
sYFEkq34doniNxf2x,M,18-24,bachelor
y8PEeM5zyNDsgBtAq,M,18-24,in_college
v2Lejk9LKebCAagPn,M,18-24,bachelor
NgDWPCCS7Y76rA2J4,M,18-24,bachelor
gcELDrrccy5PumZFd,M,18-24,master
iyFnzCvSJ2xebyvd4,M,18-24,in_college
EuMGaAieqKusaLnHR,M,18-24,bachelor
X78u6dppRA4h7reTh,M,18-24,bachelor
5YyEGHpkEWnJxtZe7,M,25-34,in_college
TycRNo4YP9XeFCMCW,M,18-24,bachelor
B8FuDJ3LXJzQrvSRC,F,25-34,high_school_grad
XuNzGnQJHRMLkFYRs,M,18-24,bachelor
vPA6FynSSRd2dzpKL,M,18-24,bachelor
SKDHiaMK4qeynouvj,M,18-24,master
4nasapbMQBMiEHvoW,M,18-24,bachelor
b5erSA7HASGBgE5R3,M,18-24,bachelor
TKb7bdhCQvS6oMteQ,M,25-34,bachelor
q3DmGSeF7dwYpuAgj,M,25-34,bachelor
